// Detail texture map file for zm_anthill_city level
// [texture name]	[detail texture name]		[hscale]	[vscale]

{duct_vnt	detail/dt_metal1	10.0	10.0
{duct_vnt2	detail/dt_metal1	10.0	10.0
{fence		detail/dt_metal1	10.0	10.0
{fence3		detail/dt_metal1	10.0	10.0
{ladder1	detail/dt_metal1	10.0	10.0
{ladder1b	detail/dt_metal1	10.0	10.0
{ladder2	detail/dt_metal1	10.0	10.0
{ladder2b	detail/dt_metal1	10.0	10.0
{ladder3a	detail/dt_metal1	10.0	10.0
{ladder3b	detail/dt_metal1	10.0	10.0
{rail2		detail/dt_metal1	10.0	10.0
{tension3	detail/dt_metal1	10.0	10.0
{tension6	detail/dt_metal1	10.0	10.0
+0lab1_comp10c	detail/dt_metal2	10.0	10.0
+1lab1_comp10c	detail/dt_metal2	10.0	10.0
+0lab1_comp9b2	detail/dt_metal2	10.0	10.0
+1lab1_comp9b2	detail/dt_metal2	10.0	10.0
+2lab1_comp9b2	detail/dt_metal2	10.0	10.0
+0~light4a	detail/dt_metal1	10.0	10.0
-0babtech_flr10	detail/dt_conc	        10.0	10.0
OUT_GRVL1	detail/dt_ground2	10.0	10.0	
-1out_grss1	detail/dt_ground2	10.0	10.0
-0out_wall8	detail/dt_conc	        10.0	10.0
-2c1a4_pow	detail/dt_metal1	10.0	10.0
-2out_grss1	detail/dt_ground2	10.0	10.0
-4tnnl_w4	detail/dt_conc	        10.0	10.0
basetrim01	detail/dt_metal1	10.0	10.0
basetrim02	detail/dt_metal1	10.0	10.0
bcontainer1	detail/dt_ssteel1	10.0	10.0
bcontainer2	detail/dt_ssteel1	10.0	10.0
bcontainer3	detail/dt_ssteel1	10.0	10.0
c_bldg_4	detail/dt_brick	        10.0	10.0
c_bldg1_2	detail/dt_conc	        10.0	10.0
c_bldg1_3	detail/dt_conc	        10.0	10.0
c_bldg2_1	detail/dt_brick	        10.0	10.0
c_bldg2_2	detail/dt_brick	        10.0	10.0
c_bldg2_brck	detail/dt_brick	        10.0	10.0
c_bldg3_1	detail/dt_conc	        10.0	10.0
c_bldg3_2	detail/dt_conc	        10.0	10.0
c_bldg4_1	detail/dt_conc	        10.0	10.0
c_bldg4_2	detail/dt_brick	        10.0	10.0
c_rockwall	detail/dt_rock1	        10.0	10.0
c_sidewlk1	detail/dt_conc	        10.0	10.0
c_sign_blarco	detail/dt_metal1	10.0	10.0
c_stone1	detail/dt_brick	        10.0	10.0
c_stone1_wndow	detail/dt_brick	        10.0	10.0
c_tnnl_ccrete	detail/dt_conc	        10.0	10.0
c_viewscreen1	detail/dt_metal1	10.0	10.0
c_viewscreen2	detail/dt_metal1	10.0	10.0
c_viewscreen3	detail/dt_metal1	10.0	10.0
c1a0_labflrc	detail/dt_metal1	10.0	10.0
c1a0_labglu	detail/dt_metal1	10.0	10.0
c1a0_labw2	detail/dt_metal1	10.0	10.0
c1a0_labw4	detail/dt_metal1	10.0	10.0
c1a0_labw5	detail/dt_metal1	10.0	10.0
c1a0_labw8	detail/dt_metal1	10.0	10.0
c1a1_crate1	detail/dt_ssteel1	10.0	10.0
c1a1_crate2	detail/dt_ssteel1	10.0	10.0
c1a1_flr2c	detail/dt_metal1	10.0	10.0
c1a1c_w2	detail/dt_conc	        10.0	10.0
c1a1w1o 	detail/dt_metal1	10.0	10.0
c1a3secdr02	detail/dt_ssteel1	10.0	10.0
c1a3wall05	detail/dt_conc	        10.0	10.0
c1a4tnnl1	detail/dt_conc	        10.0	10.0
c2a3_gar4	detail/dt_wood1	        10.0	10.0
c3a1_crate1	detail/dt_ssteel1	10.0	10.0
c3a1_crate2	detail/dt_ssteel1	10.0	10.0
c3a1_crate3	detail/dt_ssteel1	10.0	10.0
crate02		detail/dt_wood1	        10.0	10.0
crate08		detail/dt_wood1	        10.0	10.0
crate10		detail/dt_wood1	        10.0	10.0
crate19		detail/dt_wood1	        10.0	10.0
crate21		detail/dt_wood1	        10.0	10.0
crate22		detail/dt_wood1	        10.0	10.0
crate23		detail/dt_wood1	        10.0	10.0
crete3_wall02	detail/dt_conc	        10.0	10.0
crete4_flr03	detail/dt_conc	        10.0	10.0
crete4_flr01	detail/dt_conc	        10.0	10.0
crete4_stp01	detail/dt_conc	        10.0	10.0
DUCT_FLR011	detail/dt_metal1	10.0	10.0
duct_wall01	detail/dt_metal1	10.0	10.0
fifties_dr2	detail/dt_wood1	        10.0	10.0
fifties_dsk5a	detail/dt_metal1	10.0	10.0
generic101b2	detail/dt_metal1	10.0	10.0
generic64	detail/dt_wood1	        10.0	10.0
generic76	detail/dt_metal1	10.0	10.0
generic77	detail/dt_metal1	10.0	10.0
lab1_comp7	detail/dt_metal1	10.0	10.0
~lab1_comp7	detail/dt_metal1	10.0	10.0
~lab1_comp7b	detail/dt_metal1	10.0	10.0
lab1_comp3d	detail/dt_metal1	10.0	10.0
lab1_comp3e	detail/dt_metal1	10.0	10.0
metal_wall05b	detail/dt_metal1	10.0	10.0
metal_wall05c	detail/dt_metal1	10.0	10.0
metal_wall05d	detail/dt_metal1	10.0	10.0
out_box2	detail/dt_metal1	10.0	10.0
out_dmp2b	detail/dt_metal1	10.0	10.0
out_dmp3a	detail/dt_metal1	10.0	10.0
out_dmp3b	detail/dt_metal1	10.0	10.0
out_dmp3c	detail/dt_metal1	10.0	10.0
out_dmp3d	detail/dt_metal1	10.0	10.0
out_dmp4a	detail/dt_metal1	10.0	10.0
out_dmp4b	detail/dt_metal1	10.0	10.0
out_dmp4c	detail/dt_metal1	10.0	10.0
out_dmp4d	detail/dt_metal1	10.0	10.0
out_dmplid	detail/dt_metal1	10.0	10.0
out_galv1	detail/dt_metal1	10.0	10.0
out_pave1	detail/dt_ground3       10.0	10.0
out_pave2	detail/dt_plaster2      10.0	10.0
out_pave3	detail/dt_ground3       10.0	10.0
out_w4		detail/dt_metal1	10.0	10.0
out_wall2c	detail/dt_metal1	10.0	10.0
out_w6b		detail/dt_ssteel1       10.0	10.0
out_wall4b	detail/dt_conc	        10.0	10.0
silo2_cor	detail/dt_metal1	10.0	10.0
signc2a2_1	detail/dt_metal1	10.0	10.0
tnnl_flr4c	detail/dt_conc	        10.0	10.0
tnnl_flr6	detail/dt_conc	        10.0	10.0
tnnl_flr6b	detail/dt_conc	        10.0	10.0
tnnl_flr7	detail/dt_conc	        10.0	10.0
tnnl_flr7a	detail/dt_conc	        10.0	10.0
tnnl_flr7b	detail/dt_conc	        10.0	10.0
tnnl_flr7c	detail/dt_conc	        10.0	10.0
tnnl_flr7d	detail/dt_conc	        10.0	10.0
tnnl_w12c	detail/dt_conc	        10.0	10.0
tnnl_w4b2	detail/dt_ground3	10.0	10.0
tnnl_w5		detail/dt_conc	        10.0	10.0
TNNL_W7         detail/dt_conc	        10.0	10.0
TNNL_W7B        detail/dt_conc	        10.0	10.0
tnnl_w5f	detail/dt_conc	        10.0	10.0
